StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q8,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_6_TEXT,Q19,Q19_18_TEXT,Q20,Q22,Q23,Q24,Q25,Q26,Q27_1,Q27_2,Q27_3,Q28,Q29,Q30,Q31,Q32,Q33,Q35,Q36
2017-05-24 08:14:59,2017-05-24 08:14:59,Survey Test,,100,0,True,2017-05-24 08:14:59,R_a47jblIetQqNx0V,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree strongly,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree a little,Disagree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Very positive,Very negative,Very positive,Very negative,Very negative,Slightly positive,Very positive,Very positive,Very positive,Very positive,Very positive,Neither positive nor negative,Very positive,Very negative,Very positive,Slightly positive,Extremely uncharacteristic of me (1),6,4,Extremely uncharacteristic of me (1),3,2,6,4,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),5,3,5,2,Never or definitely no (1),6,8,Never or definitely no (1),8,Always or definitely yes (9),2,8,Never or definitely no (1),7,Never or definitely no (1),6,2,Never or definitely no (1),118,Female,None,No,,,,Retired,,Islam/Muslim (Shiite),,Do not regularly attend religious services,86,93,Married,19797,"Yes, born in this country",2 days,3 days,6 days,Other,13,Yes,81400,24,Yes,Yes,7
2017-05-24 08:14:59,2017-05-24 08:15:00,Survey Test,,100,1,True,2017-05-24 08:15:00,R_3e2DVq5eJMSaiwZ,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree moderately,Disagree a little,Agree a little,Disagree a little,Agree moderately,Disagree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Agree a little,Very negative,Positive,Neither positive nor negative,Neither positive nor negative,Negative,Positive,Positive,Very positive,Very positive,Very positive,Very negative,Very negative,Positive,Slightly negative,Slightly negative,Neither positive nor negative,3,2,2,5,2,3,3,Extremely uncharacteristic of me (1),2,6,Extremely uncharacteristic of me (1),3,2,6,3,8,7,6,Always or definitely yes (9),4,Never or definitely no (1),8,7,Always or definitely yes (9),8,4,7,3,3,18,Prefer not to answer,Elementary school,Yes,5,Self-employed,Military,,,Primal-indigenous/African Traditional and Diasporic/Animist/Nature Worship/Paganism,,Do not regularly attend religious services,78,91,Separated,92806,"No, not born in this country",5 days,Never,Less than once a week,On a computer or tablet at work,5,No,,,No,No,
2017-05-24 08:15:00,2017-05-24 08:15:00,Survey Test,,100,0,True,2017-05-24 08:15:00,R_9Ft2obWKryZB6uh,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Agree moderately,Disagree strongly,Agree a little,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree moderately,Neither agree nor disagree,Agree strongly,Slightly positive,Very positive,Very negative,Positive,Very positive,Positive,Neither positive nor negative,Very negative,Very positive,Very negative,Neither positive nor negative,Very negative,Slightly negative,Positive,Very positive,Slightly negative,2,2,3,3,2,3,3,4,3,4,Extremely uncharacteristic of me (1),3,3,3,Never or definitely no (1),Always or definitely yes (9),5,4,3,6,Always or definitely yes (9),6,Always or definitely yes (9),4,7,3,4,6,5,52,Female,Some college,Yes,10,Work for an employer,Professional,,,Don’t know,,,28,34,Single/Never been married,3616,"Yes, born in this country",7 days,6 days,1 day,On a computer or tablet at home,23,No,,,No,Yes,7
2017-05-24 08:15:00,2017-05-24 08:15:01,Survey Test,,100,1,True,2017-05-24 08:15:01,R_eY6f9Wo5KgWbQHj,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree moderately,Neither agree nor disagree,Agree moderately,Agree strongly,Disagree strongly,Agree moderately,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Very positive,Slightly negative,Very positive,Slightly positive,Slightly positive,Slightly negative,Very positive,Very negative,Slightly negative,Slightly negative,Very negative,Very negative,Positive,Slightly positive,Neither positive nor negative,Slightly positive,2,5,Extremely uncharacteristic of me (1),3,Extremely characteristic of me (7),6,6,6,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),3,3,Extremely uncharacteristic of me (1),6,3,3,8,2,3,4,3,8,2,Never or definitely no (1),6,Never or definitely no (1),2,4,99,Other,High school,Yes,18,Work for an employer,Secretarial or clerical,,,Don’t know,,,32,56,Married,1632,"No, not born in this country",5 days,2 days,Never,On a mobile device,11,No,,,No,No,
2017-05-24 08:15:01,2017-05-24 08:15:01,Survey Test,,100,0,True,2017-05-24 08:15:01,R_bOWbnnuDuisUwOV,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Agree a little,Agree a little,Disagree strongly,Agree moderately,Agree moderately,Disagree strongly,Agree strongly,Agree a little,Disagree moderately,Slightly negative,Slightly positive,Very negative,Slightly negative,Slightly positive,Very positive,Positive,Neither positive nor negative,Slightly negative,Neither positive nor negative,Negative,Slightly negative,Very negative,Slightly positive,Slightly positive,Neither positive nor negative,4,Extremely characteristic of me (7),4,Extremely characteristic of me (7),2,6,5,6,6,Extremely uncharacteristic of me (1),4,6,2,3,2,8,8,Never or definitely no (1),3,6,Never or definitely no (1),8,Always or definitely yes (9),3,Never or definitely no (1),5,8,3,7,23,Male,High school,Yes,12,Self-employed,Sales or retail,,,Chinese Traditional Religion/Confucianism,,Annually (at least once a year),28,35,Divorced,14851,"Yes, born in this country",6 days,7 days,4 days,On a mobile device,21,No,,,Yes,No,
2017-05-24 08:15:01,2017-05-24 08:15:02,Survey Test,,100,1,True,2017-05-24 08:15:02,R_0GTTm4pZ82mBmQJ,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Disagree moderately,Neither positive nor negative,Negative,Slightly positive,Positive,Slightly positive,Slightly negative,Neither positive nor negative,Slightly positive,Positive,Slightly positive,Neither positive nor negative,Slightly negative,Negative,Slightly negative,Slightly positive,Negative,5,5,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),4,5,3,2,Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),6,4,4,3,6,5,Never or definitely no (1),2,4,2,Always or definitely yes (9),6,4,8,7,Always or definitely yes (9),7,59,Female,None,No,,,,Homemaker (including stay-at-home parents),,Other (Write in:),Suspendisse nulla at a nulla eu magna sagittis et fusce.,Do not regularly attend religious services,93,8,Widowed,56460,"No, not born in this country",2 days,7 days,4 days,On a mobile device,15,No,,,Yes,No,
2017-05-24 08:15:02,2017-05-24 08:15:02,Survey Test,,100,0,True,2017-05-24 08:15:02,R_8JmSO7HsG0E8nTD,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Agree a little,Neither agree nor disagree,Disagree strongly,Agree moderately,Disagree a little,Disagree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Neither positive nor negative,Neither positive nor negative,Positive,Very positive,Very positive,Very negative,Slightly positive,Slightly positive,Neither positive nor negative,Slightly negative,Slightly positive,Slightly negative,Slightly negative,Slightly positive,Very positive,Negative,4,6,4,5,5,5,3,4,3,6,4,Extremely characteristic of me (7),5,Extremely uncharacteristic of me (1),4,5,6,8,3,3,Never or definitely no (1),8,Never or definitely no (1),2,3,6,Never or definitely no (1),5,4,31,Female,None,No,,,,"Other, please list","Lorem maecenas sit sagittis sed! Etiam. Massa consequat, egestas quis proin magnis? Luctus interdum.",Protestant,,Weekly (at least once a week),45,81,"Domestic partnership/Living with partner ",69117,"No, not born in this country",Never,3 days,Less than once a week,On a computer or tablet at work,4,Yes,64499,14,Yes,No,
2017-05-24 08:15:02,2017-05-24 08:15:03,Survey Test,,100,1,True,2017-05-24 08:15:03,R_5jx4UAuU7dPRhQh,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree strongly,Neither agree nor disagree,Agree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Positive,Neither positive nor negative,Very positive,Negative,Very negative,Very positive,Very positive,Slightly positive,Slightly negative,Very positive,Neither positive nor negative,Positive,Very positive,Negative,Very negative,Negative,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),3,3,2,Extremely characteristic of me (7),Extremely characteristic of me (7),3,4,4,5,Extremely uncharacteristic of me (1),6,6,5,3,8,Never or definitely no (1),Always or definitely yes (9),Never or definitely no (1),Never or definitely no (1),8,5,6,4,8,4,6,4,35,Prefer not to answer,High school,Yes,20,Self-employed,Military,,,Sikhism,,Do not regularly attend religious services,39,13,Separated,5440,"No, not born in this country",Never,4 days,3 days,On a computer or tablet at home,0,No,,,No,No,
2017-05-24 08:15:03,2017-05-24 08:15:03,Survey Test,,100,0,True,2017-05-24 08:15:03,R_9MtWMyzD7YOBrqB,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Disagree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Disagree a little,Disagree a little,Slightly positive,Neither positive nor negative,Very negative,Very positive,Slightly positive,Slightly negative,Slightly negative,Very positive,Very negative,Negative,Slightly negative,Very negative,Slightly negative,Neither positive nor negative,Neither positive nor negative,Neither positive nor negative,4,5,4,Extremely uncharacteristic of me (1),2,6,Extremely characteristic of me (7),3,2,Extremely characteristic of me (7),3,5,3,2,7,3,4,7,7,Never or definitely no (1),3,2,4,6,6,7,7,7,4,82,Male,None,No,,,,Retired,,Primal-indigenous/African Traditional and Diasporic/Animist/Nature Worship/Paganism,,Weekly (at least once a week),0,62,Married,67828,"Yes, born in this country",7 days,4 days,Less than once a week,On a computer or tablet at work,3,No,,,Yes,No,
2017-05-24 08:15:04,2017-05-24 08:15:04,Survey Test,,100,0,True,2017-05-24 08:15:04,R_2sKpDupAiTY0Y5f,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree strongly,Disagree a little,Slightly positive,Neither positive nor negative,Very negative,Neither positive nor negative,Positive,Neither positive nor negative,Very positive,Negative,Positive,Negative,Very negative,Very negative,Slightly positive,Neither positive nor negative,Positive,Slightly negative,5,5,2,5,Extremely uncharacteristic of me (1),4,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),4,6,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),Extremely uncharacteristic of me (1),2,7,Never or definitely no (1),Never or definitely no (1),6,2,2,5,6,Never or definitely no (1),Always or definitely yes (9),3,2,Never or definitely no (1),5,4,10,Prefer not to answer,College degree,Yes,15,Self-employed,Sales or retail,,,No Religion/Atheist/Agnostic,,,64,18,Divorced,86342,"Yes, born in this country",4 days,2 days,7 days,"On a computer or tablet at a public place (e.g., library)",2,Yes,56163,19,Yes,No,
2017-05-24 08:15:04,2017-05-24 08:15:04,Survey Test,,100,0,True,2017-05-24 08:15:05,R_1GKyXQdE3g5eZ49,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree moderately,Disagree strongly,Disagree a little,Agree moderately,Agree moderately,Very positive,Very negative,Negative,Positive,Negative,Slightly positive,Neither positive nor negative,Negative,Neither positive nor negative,Neither positive nor negative,Slightly positive,Negative,Neither positive nor negative,Neither positive nor negative,Slightly negative,Positive,2,6,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),5,Extremely characteristic of me (7),5,4,5,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),6,Extremely characteristic of me (7),6,8,Never or definitely no (1),2,2,Always or definitely yes (9),5,7,Never or definitely no (1),7,3,Never or definitely no (1),Never or definitely no (1),6,5,5,127,Other,Some college,Yes,2,Self-employed,Service or labor,,,Hinduism,,Annually (at least once a year),20,41,Married,70366,"Yes, born in this country",4 days,3 days,6 days,On a computer or tablet at work,20,Yes,13798,13,Yes,Yes,8
2017-05-24 08:15:05,2017-05-24 08:15:05,Survey Test,,100,0,True,2017-05-24 08:15:05,R_9QCyQaiVr1C5isJ,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree a little,Agree moderately,Agree moderately,Agree strongly,Agree a little,Disagree a little,Agree a little,Positive,Positive,Negative,Slightly negative,Negative,Positive,Slightly negative,Negative,Slightly positive,Slightly positive,Slightly negative,Neither positive nor negative,Very positive,Slightly positive,Negative,Very positive,5,4,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),Extremely characteristic of me (7),2,Extremely uncharacteristic of me (1),6,6,6,5,6,Extremely uncharacteristic of me (1),4,Never or definitely no (1),5,3,6,Never or definitely no (1),8,3,6,2,3,Never or definitely no (1),6,3,Never or definitely no (1),6,35,Other,Elementary school,Yes,8,Self-employed,Farmer or rancher,,,Other (Write in:),Urna faucibus vehicula vulputate consequat sed pharetra sapien phasellus tempora tempor per vulputate. Scelerisque.,Do not regularly attend religious services,18,77,"Domestic partnership/Living with partner ",99281,"Yes, born in this country",2 days,6 days,2 days,Other,24,No,,,No,No,
2017-05-24 08:15:05,2017-05-24 08:15:06,Survey Test,,100,1,True,2017-05-24 08:15:06,R_8qQjIdopQtKLyYZ,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,Very positive,Very negative,Slightly positive,Very positive,Slightly negative,Slightly negative,Neither positive nor negative,Negative,Very negative,Slightly negative,Positive,Neither positive nor negative,Slightly positive,Positive,Very positive,Slightly positive,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),6,2,6,6,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),3,3,Extremely characteristic of me (7),4,2,Extremely uncharacteristic of me (1),Never or definitely no (1),Always or definitely yes (9),6,Never or definitely no (1),3,Never or definitely no (1),6,8,2,7,4,2,5,8,4,68,Male,College degree,Yes,21,Work for an employer,Sales or retail,,,Jewish,,Monthly (at least once a month),35,42,Divorced,20342,"No, not born in this country",4 days,Less than once a week,5 days,On a computer or tablet at school,4,Yes,61371,7,Yes,Yes,7
2017-05-24 08:15:06,2017-05-24 08:15:06,Survey Test,,100,0,True,2017-05-24 08:15:07,R_0OqU6IysXD27BxX,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Disagree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree strongly,Agree moderately,Agree strongly,Negative,Negative,Neither positive nor negative,Neither positive nor negative,Slightly positive,Positive,Neither positive nor negative,Slightly negative,Neither positive nor negative,Very negative,Neither positive nor negative,Very positive,Very positive,Negative,Slightly positive,Slightly positive,5,4,Extremely uncharacteristic of me (1),5,6,3,6,6,Extremely characteristic of me (7),3,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),5,4,6,Never or definitely no (1),8,6,7,Always or definitely yes (9),2,2,2,6,5,7,8,Never or definitely no (1),4,31,Prefer not to answer,High school,Yes,8,Self-employed,Other,,,Muslim/Islam,,Annually (at least once a year),19,78,Separated,74232,"Yes, born in this country",1 day,Never,2 days,On a mobile device,21,Yes,11259,8,No,Yes,14
2017-05-24 08:15:07,2017-05-24 08:15:07,Survey Test,,100,0,True,2017-05-24 08:15:07,R_1SsG9ZJgzVoicbH,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Disagree strongly,Disagree moderately,Neither agree nor disagree,Disagree a little,Agree strongly,Agree a little,Agree strongly,Slightly positive,Very negative,Positive,Very negative,Negative,Neither positive nor negative,Neither positive nor negative,Negative,Very positive,Slightly negative,Slightly positive,Very negative,Negative,Negative,Positive,Negative,Extremely uncharacteristic of me (1),4,5,2,6,5,Extremely characteristic of me (7),2,3,3,4,3,4,4,2,6,Always or definitely yes (9),2,Always or definitely yes (9),Always or definitely yes (9),4,Always or definitely yes (9),Never or definitely no (1),6,7,8,3,Always or definitely yes (9),7,150,Female,High school,Yes,14,Self-employed,Farmer or rancher,,,Primal-indigenous/African Traditional and Diasporic/Animist/Nature Worship/Paganism,,Annually (at least once a year),36,35,Divorced,70712,"No, not born in this country",1 day,5 days,5 days,On a computer or tablet at home,4,Yes,33473,16,No,No,
2017-05-24 08:15:07,2017-05-24 08:15:08,Survey Test,,100,1,True,2017-05-24 08:15:08,R_0ihjx0ymwGJWHxH,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Negative,Very negative,Slightly negative,Positive,Neither positive nor negative,Very negative,Positive,Negative,Very positive,Positive,Neither positive nor negative,Slightly negative,Slightly negative,Negative,Slightly negative,Negative,Extremely characteristic of me (7),4,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),2,3,5,5,5,6,Extremely characteristic of me (7),6,Extremely uncharacteristic of me (1),6,8,5,Always or definitely yes (9),Always or definitely yes (9),3,Never or definitely no (1),3,4,Never or definitely no (1),4,2,7,5,2,3,0,Prefer not to answer,Elementary school,No,,,,Disabled,,Protestant,,Weekly (at least once a week),68,8,Single/Never been married,16686,"Yes, born in this country",4 days,7 days,6 days,On a computer or tablet at work,20,No,,,No,Yes,12
2017-05-24 08:15:08,2017-05-24 08:15:08,Survey Test,,100,0,True,2017-05-24 08:15:08,R_9mHeRlYHgYbaXCl,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Disagree moderately,Agree a little,Negative,Neither positive nor negative,Slightly negative,Slightly positive,Slightly negative,Very positive,Very negative,Slightly positive,Positive,Very negative,Very positive,Positive,Slightly negative,Very negative,Neither positive nor negative,Very positive,6,Extremely uncharacteristic of me (1),2,5,6,6,3,4,3,3,2,Extremely uncharacteristic of me (1),6,Extremely characteristic of me (7),5,Always or definitely yes (9),7,3,3,6,3,7,2,Never or definitely no (1),2,7,Always or definitely yes (9),7,Always or definitely yes (9),76,Prefer not to answer,Post-graduate degree,Yes,11,Self-employed,Professional,,,Don’t know,,,49,60,"Domestic partnership/Living with partner ",68093,"Yes, born in this country",Never,Never,2 days,"On a computer or tablet at a public place (e.g., library)",10,Yes,56801,24,Yes,Yes,14
2017-05-24 08:15:09,2017-05-24 08:15:09,Survey Test,,100,0,True,2017-05-24 08:15:09,R_1Mqk3wYSy3KtZiJ,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Agree strongly,Disagree a little,Disagree moderately,Agree strongly,Agree moderately,Agree strongly,Disagree a little,Disagree a little,Agree a little,Very negative,Very negative,Slightly positive,Negative,Neither positive nor negative,Neither positive nor negative,Slightly negative,Very negative,Neither positive nor negative,Slightly negative,Very negative,Slightly positive,Positive,Negative,Very negative,Neither positive nor negative,3,Extremely uncharacteristic of me (1),3,Extremely uncharacteristic of me (1),2,2,3,5,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),6,5,3,Extremely uncharacteristic of me (1),3,7,6,Always or definitely yes (9),6,Always or definitely yes (9),Never or definitely no (1),7,6,6,7,Never or definitely no (1),7,3,6,88,Other,Post-graduate degree,Yes,24,Self-employed,Professional,,,Other Non-Christian Religion,,Monthly (at least once a month),13,30,Divorced,11157,"No, not born in this country",Never,Never,1 day,On a mobile device,12,No,,,No,Yes,12
2017-05-24 08:15:09,2017-05-24 08:15:09,Survey Test,,100,0,True,2017-05-24 08:15:10,R_ddpyIuvdKIR2GxL,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Disagree moderately,Disagree strongly,Neither agree nor disagree,Agree strongly,Disagree a little,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Slightly positive,Very positive,Very positive,Very negative,Very positive,Positive,Slightly positive,Negative,Slightly negative,Negative,Slightly negative,Neither positive nor negative,Very positive,Positive,Positive,Very positive,Extremely uncharacteristic of me (1),3,5,Extremely uncharacteristic of me (1),5,6,6,4,5,6,3,3,Extremely uncharacteristic of me (1),4,4,5,4,5,6,Always or definitely yes (9),7,4,2,7,2,6,6,2,6,98,Prefer not to answer,Post-graduate degree,Yes,2,Self-employed,Secretarial or clerical,,,Other (Write in:),Nulla at montes purus facilisis. Turpis ante leo porta sollicitudin.,Monthly (at least once a month),95,98,Married,26822,"Yes, born in this country",Less than once a week,Less than once a week,1 day,Other,18,No,,,Yes,No,
2017-05-24 08:15:10,2017-05-24 08:15:10,Survey Test,,100,0,True,2017-05-24 08:15:10,R_a9MmbhZIuQpqBWR,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree strongly,Agree moderately,Agree strongly,Disagree moderately,Disagree strongly,Agree a little,Disagree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Very positive,Negative,Very negative,Very negative,Very negative,Slightly negative,Negative,Slightly negative,Positive,Very negative,Neither positive nor negative,Negative,Negative,Neither positive nor negative,Slightly positive,Positive,6,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),5,5,2,Extremely uncharacteristic of me (1),5,Extremely characteristic of me (7),Extremely characteristic of me (7),2,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),4,2,3,Always or definitely yes (9),3,3,2,Never or definitely no (1),8,Never or definitely no (1),Always or definitely yes (9),4,6,Always or definitely yes (9),3,141,Female,High school,Yes,9,Work for an employer,Farmer or rancher,,,Jewish,,Annually (at least once a year),86,19,Single/Never been married,38061,"Yes, born in this country",1 day,7 days,5 days,On a computer or tablet at school,12,Yes,9441,15,Yes,Yes,8
2017-05-24 08:15:10,2017-05-24 08:15:11,Survey Test,,100,1,True,2017-05-24 08:15:11,R_4Z41o4ZTWixjyMR,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree moderately,Disagree moderately,Slightly positive,Negative,Slightly positive,Positive,Very negative,Negative,Very negative,Slightly positive,Negative,Negative,Slightly positive,Slightly negative,Very negative,Very negative,Very negative,Positive,2,5,3,6,6,Extremely characteristic of me (7),3,6,2,3,2,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),Extremely uncharacteristic of me (1),Never or definitely no (1),7,7,3,8,Always or definitely yes (9),8,2,7,7,2,Never or definitely no (1),6,6,Always or definitely yes (9),149,Female,High school,Yes,3,Self-employed,Secretarial or clerical,,,Islam/Muslim (Sunni),,Annually (at least once a year),36,73,"Domestic partnership/Living with partner ",63485,"Yes, born in this country",Never,5 days,7 days,On a mobile device,13,Yes,62363,10,Yes,No,
2017-05-24 08:15:11,2017-05-24 08:15:11,Survey Test,,100,0,True,2017-05-24 08:15:11,R_3xxbKevJ9f3fK9n,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree moderately,Agree moderately,Disagree moderately,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Slightly negative,Neither positive nor negative,Slightly positive,Slightly positive,Neither positive nor negative,Slightly negative,Slightly positive,Slightly positive,Slightly negative,Very negative,Very positive,Slightly negative,Neither positive nor negative,Slightly negative,Positive,Neither positive nor negative,5,5,4,4,2,Extremely characteristic of me (7),4,2,5,4,4,6,2,4,3,Never or definitely no (1),2,2,3,Never or definitely no (1),7,2,Always or definitely yes (9),6,Never or definitely no (1),4,7,5,3,83,Other,Post-graduate degree,Yes,6,Self-employed,Military,,,Islam/Muslim (Shiite),,Monthly (at least once a month),2,12,"Domestic partnership/Living with partner ",6209,"No, not born in this country",4 days,Never,Never,On a mobile device,0,No,,,Yes,No,
2017-05-24 08:15:11,2017-05-24 08:15:12,Survey Test,,100,1,True,2017-05-24 08:15:12,R_elZMMSMor3Z2Zal,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree strongly,Disagree strongly,Agree a little,Agree a little,Disagree a little,Disagree strongly,Agree moderately,Agree strongly,Agree a little,Agree moderately,Very positive,Very positive,Slightly negative,Very positive,Positive,Neither positive nor negative,Positive,Slightly negative,Negative,Neither positive nor negative,Neither positive nor negative,Very negative,Positive,Positive,Slightly positive,Very positive,6,Extremely characteristic of me (7),Extremely characteristic of me (7),4,4,3,2,6,Extremely characteristic of me (7),4,6,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),5,8,7,8,Always or definitely yes (9),Always or definitely yes (9),3,5,7,Never or definitely no (1),2,6,Always or definitely yes (9),2,2,6,111,Prefer not to answer,High school,Yes,3,Self-employed,Service or labor,,,Spiritism,,Monthly (at least once a month),33,99,Married,40114,"Yes, born in this country",5 days,2 days,Less than once a week,"On a computer or tablet at a public place (e.g., library)",15,Yes,94496,12,No,Yes,10
2017-05-24 08:15:12,2017-05-24 08:15:12,Survey Test,,100,0,True,2017-05-24 08:15:12,R_eY85mTEQiv1D2NT,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree strongly,Disagree strongly,Neither agree nor disagree,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree a little,Disagree moderately,Disagree strongly,Agree a little,Slightly positive,Very negative,Positive,Very positive,Slightly positive,Positive,Very negative,Very negative,Neither positive nor negative,Negative,Neither positive nor negative,Very positive,Very positive,Negative,Slightly positive,Very negative,Extremely uncharacteristic of me (1),6,3,Extremely characteristic of me (7),4,6,4,2,Extremely characteristic of me (7),5,5,6,3,6,8,6,4,7,2,8,5,2,Never or definitely no (1),Always or definitely yes (9),3,4,Always or definitely yes (9),7,Always or definitely yes (9),54,Male,None,Yes,5,Work for an employer,Professional,,,Muslim/Islam,,Annually (at least once a year),54,43,Divorced,26744,"No, not born in this country",2 days,6 days,4 days,On a computer or tablet at home,21,Yes,2417,21,No,No,
