StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_6_TEXT,Q19,Q20,Q21,Q22,Q23,Q23_18_TEXT,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32_1,Q32_2,Q32_3,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40
2017-06-08 06:18:17,2017-06-08 06:18:17,Survey Test,,100,0,True,2017-06-08 06:18:17,R_6PXQMHhssDm5sfH,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Agree strongly,Disagree a little,Disagree strongly,Disagree moderately,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Very positive,Neither positive nor negative,Slightly positive,Very positive,Very positive,Neither positive nor negative,Positive,Negative,Very positive,Very positive,Slightly negative,Slightly negative,Very positive,Slightly negative,Negative,Very positive,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),3,Extremely uncharacteristic of me (1),4,3,Extremely uncharacteristic of me (1),3,6,6,Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely uncharacteristic of me (1),4,3,Always or definitely yes (9),4,Never or definitely no (1),5,Always or definitely yes (9),8,2,Never or definitely no (1),4,8,4,2,Always or definitely yes (9),8,12,Female,College degree,Yes,2,Work for an employer,Professional,,,"$60,000-$89,999 per year",500 - 999 MAD,"7,501 – 10,000 pesos",Finding it very difficult on present income,Chinese Traditional Religion/Confucianism,,Monthly (at least once a month),55,94,"Domestic partnership/Living with partner ",19540,"Yes, born in this country",,,1 day,7 days,7 days,On a computer or tablet at school,24,No,,,Yes,Yes,0
2017-06-08 06:18:18,2017-06-08 06:18:18,Survey Test,,100,0,True,2017-06-08 06:18:18,R_6o5jg58cHJ6rATb,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Agree a little,Disagree moderately,Agree a little,Agree strongly,Disagree strongly,Disagree moderately,Disagree strongly,Agree a little,Neither agree nor disagree,Agree a little,Positive,Neither positive nor negative,Slightly negative,Slightly negative,Very negative,Slightly negative,Positive,Neither positive nor negative,Slightly positive,Neither positive nor negative,Neither positive nor negative,Very positive,Neither positive nor negative,Very positive,Slightly positive,Slightly positive,2,Extremely characteristic of me (7),4,Extremely uncharacteristic of me (1),4,3,Extremely characteristic of me (7),6,6,4,Extremely uncharacteristic of me (1),6,5,4,Never or definitely no (1),3,Never or definitely no (1),3,3,Always or definitely yes (9),4,8,2,5,Never or definitely no (1),7,7,5,6,3,6,Female,Elementary school,No,,,,Retired,,"$12,000-$23,999 per year","1,500 - 1,999 MAD","25,001 – 40,000 pesos",Getting by on present income,No Religion/Atheist/Agnostic,,,8,52,Married,40465,"No, not born in this country",No,Elit aenean nonummy eget fusce ut integer bibendum dolor placerat.,2 days,2 days,6 days,On a computer or tablet at home,9,Yes,70723,17,Yes,Yes,10
2017-06-08 06:18:17,2017-06-08 06:18:17,Survey Test,,100,0,True,2017-06-08 06:18:17,R_8dFIm2DfTXvbaRv,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree moderately,Disagree strongly,Agree strongly,Agree moderately,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree moderately,Disagree moderately,Slightly negative,Positive,Very positive,Negative,Very positive,Very negative,Very positive,Slightly negative,Very negative,Slightly positive,Neither positive nor negative,Slightly positive,Slightly negative,Positive,Negative,Negative,2,Extremely uncharacteristic of me (1),5,Extremely characteristic of me (7),2,5,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),2,4,4,3,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),2,7,3,2,2,8,4,5,5,Always or definitely yes (9),2,4,3,2,2,6,134,Prefer not to answer,Some college,No,,,,Homemaker (including stay-at-home parents),,"$6,000-$11,999 per year","1,000 - 1,499 MAD","5,001 – 6,000 pesos",Living comfortably on present income,Islam/Muslim (Sunni),,Weekly (at least once a week),96,1,Divorced,48995,"No, not born in this country",Yes,Lorem malesuada tincidunt amet! Pede. Tincidunt aliquet purus temporibus molestie interdum cras nulla montes odio.,1 day,3 days,Less than once a week,On a computer or tablet at home,20,Yes,28870,21,No,No,
2017-06-08 06:18:18,2017-06-08 06:18:18,Survey Test,,100,0,True,2017-06-08 06:18:18,R_0wvPQ4hcXD0IRhz,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Neither agree nor disagree,Agree a little,Agree moderately,Neither agree nor disagree,Disagree strongly,Agree moderately,Agree strongly,Agree a little,Agree moderately,Agree moderately,Very positive,Slightly positive,Negative,Slightly negative,Positive,Very positive,Neither positive nor negative,Very negative,Very positive,Negative,Neither positive nor negative,Negative,Slightly positive,Neither positive nor negative,Very positive,Slightly negative,Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely uncharacteristic of me (1),4,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),2,Extremely characteristic of me (7),4,Extremely uncharacteristic of me (1),5,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),6,2,2,2,8,6,2,5,4,4,6,Always or definitely yes (9),3,6,8,7,8,90,Other,College degree,Yes,6,Work for an employer,Secretarial or clerical,,,"$60,000-$89,999 per year","More than 24,999 MAD","5,001 – 6,000 pesos",Finding it very difficult on present income,Buddhism,,Weekly (at least once a week),30,18,Married,34065,"No, not born in this country",No,Tortor egestas! Nunc elementum orci. Aliquet atque morbi! Wisi dapibus.,1 day,7 days,6 days,On a mobile device,19,No,,,No,No,
2017-06-08 06:18:17,2017-06-08 06:18:17,Survey Test,,100,0,True,2017-06-08 06:18:17,R_1S84BebJuSZyl9j,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree moderately,Agree strongly,Agree moderately,Agree strongly,Agree a little,Disagree a little,Agree a little,Very positive,Very negative,Neither positive nor negative,Positive,Very negative,Slightly negative,Slightly negative,Slightly positive,Neither positive nor negative,Slightly positive,Slightly positive,Slightly negative,Neither positive nor negative,Positive,Very negative,Very positive,Extremely uncharacteristic of me (1),2,5,4,2,4,Extremely characteristic of me (7),4,4,4,Extremely characteristic of me (7),6,Extremely characteristic of me (7),2,4,7,Never or definitely no (1),8,8,3,7,2,8,2,2,2,8,4,6,3,136,Other,Some college,No,,,,Disabled,,"$6,000-$11,999 per year","15,000 - 19,999 MAD","5,001 – 6,000 pesos",Finding it very difficult on present income,No Religion/Atheist/Agnostic,,,62,14,Widowed,29882,"Yes, born in this country",,,3 days,7 days,2 days,On a computer or tablet at work,1,No,,,No,Yes,3
2017-06-08 06:18:18,2017-06-08 06:18:18,Survey Test,,100,0,True,2017-06-08 06:18:18,R_dnxuUq2VjqRUzD7,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Agree strongly,Agree moderately,Agree strongly,Neither agree nor disagree,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Disagree strongly,Very negative,Negative,Slightly positive,Very negative,Slightly negative,Positive,Slightly positive,Very negative,Slightly negative,Very negative,Negative,Very negative,Slightly negative,Very negative,Neither positive nor negative,Slightly negative,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),2,6,Extremely characteristic of me (7),2,Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely uncharacteristic of me (1),2,6,3,4,Extremely characteristic of me (7),6,7,2,8,Never or definitely no (1),6,Always or definitely yes (9),6,2,3,7,3,6,4,8,5,71,Prefer not to answer,Some college,Yes,6,Self-employed,Farmer or rancher,,,"$6,000-$11,999 per year","2,000 - 2,999 MAD","6,001 – 7,500 pesos",Living comfortably on present income,Roman Catholic,,Monthly (at least once a month),40,66,Married,52821,"Yes, born in this country",,,4 days,6 days,1 day,On a computer or tablet at work,23,Yes,95963,0,Yes,Yes,8
2017-06-08 06:18:19,2017-06-08 06:18:19,Survey Test,,100,0,True,2017-06-08 06:18:19,R_cHNA1oa0WeXv845,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree strongly,Neither agree nor disagree,Agree moderately,Disagree a little,Agree a little,Neither agree nor disagree,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree a little,Very positive,Very positive,Positive,Positive,Slightly negative,Very negative,Slightly negative,Very positive,Neither positive nor negative,Neither positive nor negative,Very negative,Negative,Negative,Slightly positive,Neither positive nor negative,Positive,6,4,4,4,5,Extremely characteristic of me (7),5,5,Extremely uncharacteristic of me (1),4,4,6,6,Extremely characteristic of me (7),8,3,Never or definitely no (1),7,7,6,8,Never or definitely no (1),6,7,4,Always or definitely yes (9),Never or definitely no (1),8,2,2,97,Female,High school,Yes,16,Self-employed,Secretarial or clerical,,,"$120,000-$179,999 per year",249 MAD or less,"4,001 – 5,000 pesos",Finding it difficult on present income,Buddhism,,Weekly (at least once a week),33,38,"Domestic partnership/Living with partner ",82057,"Yes, born in this country",,,4 days,2 days,5 days,On a mobile device,9,No,,,Yes,No,
2017-06-08 06:18:18,2017-06-08 06:18:18,Survey Test,,100,0,True,2017-06-08 06:18:18,R_026W8Z2uZ4YryCN,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree moderately,Agree strongly,Disagree a little,Disagree moderately,Agree a little,Disagree moderately,Agree a little,Agree a little,Agree moderately,Agree a little,Positive,Slightly negative,Slightly positive,Very negative,Very negative,Slightly positive,Neither positive nor negative,Slightly negative,Positive,Slightly positive,Slightly positive,Negative,Positive,Positive,Slightly negative,Neither positive nor negative,3,3,3,4,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),4,2,Extremely characteristic of me (7),2,5,4,Extremely characteristic of me (7),3,2,8,Always or definitely yes (9),4,2,2,8,6,2,7,3,6,4,6,8,8,86,Female,Elementary school,No,,,,Retired,,"Less than $6,000 per year","1,000 - 1,499 MAD","1,501 – 3,000 pesos",Getting by on present income,Sikhism,,Do not regularly attend religious services,5,37,Divorced,25274,"No, not born in this country",Yes,Proin dolor per vehicula enim sit! Integer nunc duis? Potenti.,2 days,7 days,Never,On a computer or tablet at home,15,No,,,No,No,
2017-06-08 06:18:19,2017-06-08 06:18:19,Survey Test,,100,0,True,2017-06-08 06:18:19,R_0MUTaLcXVP76QxD,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree strongly,Disagree moderately,Agree strongly,Agree strongly,Disagree moderately,Disagree strongly,Disagree a little,Disagree moderately,Agree moderately,Neither agree nor disagree,Very positive,Positive,Very positive,Neither positive nor negative,Neither positive nor negative,Neither positive nor negative,Very negative,Negative,Neither positive nor negative,Neither positive nor negative,Positive,Slightly negative,Very negative,Negative,Negative,Negative,6,6,2,6,Extremely characteristic of me (7),Extremely characteristic of me (7),4,3,3,3,6,Extremely uncharacteristic of me (1),6,6,Never or definitely no (1),4,7,6,8,3,7,4,3,2,8,3,8,2,8,4,34,Other,Some college,Yes,16,Work for an employer,Secretarial or clerical,,,"$240,000 or more per year","5,000 - 7,999 MAD","701 – 1,500 pesos",Finding it very difficult on present income,Sikhism,,Weekly (at least once a week),34,90,Married,89650,"Yes, born in this country",,,1 day,Less than once a week,5 days,"On a computer or tablet at a public place (e.g., library)",19,Yes,61219,11,Yes,No,
2017-06-08 06:18:20,2017-06-08 06:18:20,Survey Test,,100,0,True,2017-06-08 06:18:20,R_4YeQBwPniXQoVPT,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree strongly,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Disagree a little,Disagree a little,Disagree moderately,Disagree strongly,Negative,Positive,Very positive,Very positive,Slightly positive,Very negative,Slightly positive,Slightly positive,Positive,Very negative,Slightly negative,Very negative,Negative,Slightly negative,Slightly negative,Negative,4,4,5,6,5,6,5,4,2,3,3,2,2,5,4,4,Never or definitely no (1),8,Never or definitely no (1),4,7,6,8,7,7,8,4,8,7,2,51,Female,Some college,No,,,,Student,,"Less than $6,000 per year","20,000 - 24,999 MAD","25,001 – 40,000 pesos",Living comfortably on present income,Chinese Traditional Religion/Confucianism,,Monthly (at least once a month),35,85,Separated,31110,"Yes, born in this country",,,7 days,Never,7 days,On a computer or tablet at school,0,No,,,No,No,
2017-06-08 06:18:19,2017-06-08 06:18:19,Survey Test,,100,0,True,2017-06-08 06:18:19,R_85QHVgBSNCt8Vj7,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Agree a little,Agree a little,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Agree strongly,Agree a little,Disagree strongly,Very negative,Slightly negative,Slightly positive,Negative,Slightly positive,Very negative,Slightly positive,Slightly positive,Slightly negative,Negative,Negative,Positive,Negative,Negative,Negative,Very negative,3,4,4,2,5,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),Extremely characteristic of me (7),4,6,3,4,4,3,Always or definitely yes (9),4,2,Always or definitely yes (9),Always or definitely yes (9),8,5,5,4,Never or definitely no (1),Always or definitely yes (9),2,6,Always or definitely yes (9),Never or definitely no (1),35,Male,Post-graduate degree,Yes,21,Work for an employer,Professional,,,"$48,000-$59,999 per year","1,500 - 1,999 MAD","10,001 – 15,000 pesos",Finding it difficult on present income,Islam/Muslim (Sunni),,Monthly (at least once a month),90,39,Married,25671,"Yes, born in this country",,,3 days,4 days,2 days,On a computer or tablet at home,17,Yes,69864,0,No,Yes,10
2017-06-08 06:18:19,2017-06-08 06:18:20,Survey Test,,100,1,True,2017-06-08 06:18:20,R_bxXuCWVtdVx8jo9,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Very positive,Slightly negative,Very negative,Slightly negative,Very negative,Very positive,Negative,Very negative,Very negative,Slightly positive,Very negative,Neither positive nor negative,Neither positive nor negative,Negative,Very positive,Slightly negative,Extremely uncharacteristic of me (1),5,3,Extremely characteristic of me (7),Extremely characteristic of me (7),5,6,Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely characteristic of me (7),5,5,Extremely uncharacteristic of me (1),2,2,3,2,7,7,5,Never or definitely no (1),2,Always or definitely yes (9),5,5,6,Always or definitely yes (9),Never or definitely no (1),2,Never or definitely no (1),121,Other,None,Yes,0,Self-employed,Farmer or rancher,,,"$24,000-$35,999 per year",(None/No household income),"3,001 – 4,000 pesos",Finding it very difficult on present income,Islam/Muslim (Sunni),,Do not regularly attend religious services,69,86,Widowed,7481,"Yes, born in this country",,,2 days,6 days,2 days,On a computer or tablet at work,22,Yes,43885,13,No,Yes,11
2017-06-08 06:18:20,2017-06-08 06:18:20,Survey Test,,100,0,True,2017-06-08 06:18:20,R_a3l8DN8R3c9cHJj,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Disagree a little,Disagree moderately,Disagree a little,Disagree a little,Agree strongly,Negative,Neither positive nor negative,Very negative,Slightly negative,Positive,Very negative,Very positive,Slightly positive,Slightly positive,Very negative,Very positive,Very negative,Neither positive nor negative,Slightly negative,Negative,Neither positive nor negative,4,Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely characteristic of me (7),5,3,Extremely characteristic of me (7),3,Extremely uncharacteristic of me (1),3,5,6,5,4,3,3,Never or definitely no (1),6,8,5,Never or definitely no (1),8,5,7,8,7,7,Always or definitely yes (9),5,8,22,Female,College degree,No,,,,Student,,"$6,000-$11,999 per year",(Does NOT know household income),(None/No household income),Living comfortably on present income,Hinduism,,Monthly (at least once a month),92,94,Divorced,99085,"No, not born in this country",Yes,Temporibus purus vel. Est iaculis porta platea suspendisse sodales primis curabitur. Morbi ridiculus fusce.,5 days,6 days,6 days,On a mobile device,4,Yes,2290,7,No,No,
2017-06-08 06:18:21,2017-06-08 06:18:21,Survey Test,,100,0,True,2017-06-08 06:18:21,R_eA40B066nDFc8CN,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree moderately,Disagree moderately,Disagree moderately,Agree strongly,Neither agree nor disagree,Disagree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Slightly positive,Positive,Slightly positive,Slightly positive,Positive,Neither positive nor negative,Slightly positive,Slightly negative,Positive,Very negative,Slightly positive,Neither positive nor negative,Slightly positive,Slightly negative,Positive,Very negative,4,2,2,Extremely characteristic of me (7),4,Extremely characteristic of me (7),5,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),3,4,Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely characteristic of me (7),7,7,3,5,8,Never or definitely no (1),8,Always or definitely yes (9),6,7,Never or definitely no (1),5,5,4,8,Never or definitely no (1),53,Prefer not to answer,High school,No,,,,Retired,,"$120,000-$179,999 per year","2,000 - 2,999 MAD","5,001 – 6,000 pesos",Getting by on present income,Primal-indigenous/African Traditional and Diasporic/Animist/Nature Worship/Paganism,,Weekly (at least once a week),93,24,"Domestic partnership/Living with partner ",20643,"Yes, born in this country",,,3 days,1 day,1 day,"On a computer or tablet at a public place (e.g., library)",12,No,,,No,No,
2017-06-08 06:18:20,2017-06-08 06:18:20,Survey Test,,100,0,True,2017-06-08 06:18:20,R_eA1haMRXhIzGOvH,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Neither agree nor disagree,Disagree moderately,Disagree strongly,Disagree a little,Agree moderately,Agree strongly,Agree strongly,Disagree a little,Disagree strongly,Neither agree nor disagree,Slightly negative,Neither positive nor negative,Slightly positive,Neither positive nor negative,Slightly negative,Neither positive nor negative,Neither positive nor negative,Slightly positive,Very positive,Neither positive nor negative,Very negative,Positive,Slightly positive,Very positive,Positive,Positive,Extremely characteristic of me (7),5,Extremely characteristic of me (7),5,2,6,Extremely uncharacteristic of me (1),6,Extremely uncharacteristic of me (1),2,Extremely uncharacteristic of me (1),4,4,4,4,6,Never or definitely no (1),2,8,8,4,3,5,3,5,5,Never or definitely no (1),3,4,Never or definitely no (1),117,Female,Some college,Yes,16,Work for an employer,Other,,,"Less than $6,000 per year",500 - 999 MAD,700 pesos or less,Living comfortably on present income,Buddhism,,Monthly (at least once a month),95,27,Single/Never been married,34736,"No, not born in this country",No,Fusce suscipit! Sapien augue dui sem! Eget porttitor at dolorem porttitor magna.,1 day,7 days,Never,On a mobile device,14,Yes,70966,8,Yes,No,
2017-06-08 06:18:21,2017-06-08 06:18:21,Survey Test,,100,0,True,2017-06-08 06:18:21,R_ePfqbnFCepLW9Rr,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree moderately,Disagree strongly,Agree moderately,Agree moderately,Agree strongly,Disagree strongly,Disagree a little,Agree moderately,Agree moderately,Agree strongly,Very negative,Very negative,Slightly positive,Negative,Negative,Slightly positive,Positive,Slightly negative,Negative,Positive,Negative,Positive,Negative,Positive,Very negative,Negative,5,Extremely uncharacteristic of me (1),2,6,3,3,Extremely characteristic of me (7),3,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),6,6,2,Extremely characteristic of me (7),5,2,5,Never or definitely no (1),Never or definitely no (1),8,2,7,8,5,8,6,6,6,4,3,11,Male,Elementary school,No,,,,Retired,,"$240,000 or more per year",250 - 499 MAD,"4,001 – 5,000 pesos",Finding it very difficult on present income,Primal-indigenous/African Traditional and Diasporic/Animist/Nature Worship/Paganism,,Annually (at least once a year),91,39,Widowed,93268,"No, not born in this country",No,Tincidunt pellentesque cras malesuada nulla fusce sapien dui tortor consequat id.,7 days,6 days,6 days,Other,22,No,,,Yes,No,
2017-06-08 06:18:22,2017-06-08 06:18:22,Survey Test,,100,0,True,2017-06-08 06:18:22,R_8pulG8xUumPaxCZ,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree a little,Disagree a little,Agree strongly,Agree a little,Neither agree nor disagree,Agree moderately,Disagree strongly,Agree moderately,Agree moderately,Disagree moderately,Slightly positive,Very positive,Negative,Slightly positive,Slightly positive,Slightly positive,Negative,Very negative,Neither positive nor negative,Neither positive nor negative,Very positive,Positive,Slightly positive,Slightly positive,Neither positive nor negative,Neither positive nor negative,4,2,2,5,6,Extremely characteristic of me (7),2,2,Extremely characteristic of me (7),4,4,2,5,Extremely characteristic of me (7),8,5,Always or definitely yes (9),3,8,Never or definitely no (1),6,Never or definitely no (1),8,5,2,5,Always or definitely yes (9),8,7,7,30,Male,None,Yes,0,Work for an employer,Military,,,,"10,000 - 14,999 MAD","4,001 – 5,000 pesos",Getting by on present income,Other Christian Religion,,Annually (at least once a year),5,22,Married,6171,"No, not born in this country",Yes,Fringilla mi vel vivamus sodales imperdiet mauris neque gravida quam potenti potenti sit.,3 days,2 days,Less than once a week,On a mobile device,2,Yes,90059,15,Yes,No,
2017-06-08 06:18:21,2017-06-08 06:18:21,Survey Test,,100,0,True,2017-06-08 06:18:21,R_9mn37i8H5f7s2O1,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Disagree moderately,Disagree moderately,Disagree moderately,Agree strongly,Disagree strongly,Neither positive nor negative,Positive,Slightly positive,Very negative,Very negative,Neither positive nor negative,Positive,Very positive,Negative,Neither positive nor negative,Negative,Slightly positive,Slightly negative,Slightly negative,Slightly positive,Very negative,Extremely uncharacteristic of me (1),4,5,2,6,Extremely characteristic of me (7),3,6,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),6,6,3,4,3,Always or definitely yes (9),Always or definitely yes (9),3,5,Never or definitely no (1),2,Always or definitely yes (9),3,2,6,7,5,3,2,3,71,Other,None,Yes,4,Work for an employer,Service or labor,,,"$12,000-$23,999 per year",500 - 999 MAD,(Does NOT know household income),Getting by on present income,Jewish,,Annually (at least once a year),91,49,Single/Never been married,95186,"No, not born in this country",No,"Faucibus. Elementum risus commodo et nibh in dictumst duis, urna. Id! In, vestibulum tortor.",Never,2 days,Never,On a computer or tablet at school,19,No,,,Yes,Yes,13
2017-06-08 06:18:21,2017-06-08 06:18:21,Survey Test,,100,0,True,2017-06-08 06:18:21,R_e4JPtPRJriuF3F3,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Neither agree nor disagree,Agree a little,Disagree strongly,Disagree moderately,Agree moderately,Agree strongly,Neither agree nor disagree,Disagree moderately,Disagree moderately,Agree strongly,Positive,Very negative,Very negative,Slightly negative,Neither positive nor negative,Negative,Positive,Very positive,Neither positive nor negative,Slightly negative,Very negative,Very negative,Positive,Positive,Neither positive nor negative,Positive,4,4,5,Extremely characteristic of me (7),Extremely characteristic of me (7),3,6,Extremely uncharacteristic of me (1),3,4,3,3,5,4,Never or definitely no (1),8,3,6,Never or definitely no (1),Always or definitely yes (9),Always or definitely yes (9),3,4,4,Always or definitely yes (9),4,2,5,2,4,2,Female,Elementary school,Yes,21,Self-employed,Sales or retail,,,"$6,000-$11,999 per year",249 MAD or less,"15,001 – 25,000 pesos",Finding it very difficult on present income,Islam/Muslim (Shiite),,Weekly (at least once a week),19,56,"Domestic partnership/Living with partner ",16729,"Yes, born in this country",,,7 days,1 day,5 days,Other,9,Yes,94534,5,Yes,No,
2017-06-08 06:18:21,2017-06-08 06:18:22,Survey Test,,100,1,True,2017-06-08 06:18:22,R_efJOFVO2dq8H81f,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,Disagree a little,Disagree a little,Agree moderately,Agree a little,Very positive,Very negative,Slightly negative,Positive,Neither positive nor negative,Very positive,Neither positive nor negative,Slightly negative,Neither positive nor negative,Positive,Neither positive nor negative,Negative,Positive,Negative,Slightly positive,Slightly positive,3,2,Extremely characteristic of me (7),2,Extremely uncharacteristic of me (1),2,Extremely uncharacteristic of me (1),5,6,4,Extremely characteristic of me (7),2,2,Extremely uncharacteristic of me (1),5,2,2,5,Never or definitely no (1),6,5,5,5,Never or definitely no (1),Never or definitely no (1),5,7,3,7,3,147,Prefer not to answer,Some college,Yes,1,Self-employed,Managerial,,,"$180,000-$239,999 per year","5,000 - 7,999 MAD","4,001 – 5,000 pesos",Living comfortably on present income,Other (Write in:),Maecenas nec vehicula! Pharetra augue! Lorem malesuada etiam amet nunc purus eleifend.,Weekly (at least once a week),10,52,Divorced,87491,"Yes, born in this country",,,3 days,6 days,2 days,Other,18,Yes,19146,1,Yes,No,
2017-06-08 06:18:22,2017-06-08 06:18:23,Survey Test,,100,1,True,2017-06-08 06:18:23,R_b3LuCrpZdhlo6u9,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree strongly,Disagree moderately,Neither agree nor disagree,Disagree moderately,Disagree a little,Agree a little,Disagree a little,Disagree moderately,Disagree strongly,Disagree a little,Negative,Slightly negative,Negative,Negative,Positive,Negative,Slightly positive,Neither positive nor negative,Slightly negative,Slightly negative,Neither positive nor negative,Slightly positive,Very negative,Slightly positive,Negative,Very positive,2,3,5,5,2,3,4,2,Extremely uncharacteristic of me (1),3,4,2,6,Extremely uncharacteristic of me (1),5,3,Never or definitely no (1),2,3,7,3,2,3,8,4,6,4,6,8,Never or definitely no (1),17,Other,College degree,Yes,4,Self-employed,Professional,,,"$180,000-$239,999 per year","5,000 - 7,999 MAD","3,001 – 4,000 pesos",Finding it very difficult on present income,Sikhism,,Monthly (at least once a month),26,33,Separated,60492,"Yes, born in this country",,,2 days,Less than once a week,3 days,On a computer or tablet at work,16,No,,,Yes,No,
2017-06-08 06:18:23,2017-06-08 06:18:23,Survey Test,,100,0,True,2017-06-08 06:18:23,R_81FPkU6YcfeRp3v,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Neither agree nor disagree,Disagree moderately,Agree a little,Disagree strongly,Agree a little,Disagree moderately,Disagree a little,Disagree strongly,Agree moderately,Disagree strongly,Slightly negative,Very positive,Very negative,Slightly positive,Very positive,Slightly negative,Positive,Very negative,Very negative,Very positive,Slightly positive,Slightly positive,Very positive,Slightly negative,Slightly negative,Neither positive nor negative,6,6,Extremely characteristic of me (7),6,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),4,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),5,6,2,6,2,Never or definitely no (1),3,2,3,Always or definitely yes (9),3,8,7,5,6,Never or definitely no (1),Always or definitely yes (9),8,8,6,27,Prefer not to answer,Post-graduate degree,Yes,3,Work for an employer,Other,,,"$90,000-$119,999 per year","10,000 - 14,999 MAD",(None/No household income),Finding it very difficult on present income,Other Christian Religion,,Annually (at least once a year),40,9,Separated,60011,"No, not born in this country",Yes,"Euismod tortor et. Sollicitudin sapien. Cursus. Augue dictumst nonummy praesent, non.",5 days,4 days,2 days,"On a computer or tablet at a public place (e.g., library)",24,No,,,Yes,No,
