"","playerid","group","round_num","group_connect","connect","condition","sessionnum","ingroup","biased","identities"
"106",16,2,12,1,1,"Biased-4","1",0,1,1
"107",17,2,4,3,1,"Biased-4","1",0,1,1
"108",17,2,4,0,1,"Biased-4","1",0,1,1
"109",17,2,4,2,1,"Biased-4","1",1,1,1
"110",17,0,12,3,1,"Biased-4","1",0,1,1
"111",17,0,12,2,1,"Biased-4","1",0,1,1
"112",18,3,4,3,1,"Biased-4","1",1,1,1
"113",18,3,4,1,1,"Biased-4","1",0,1,1
"114",18,3,8,1,1,"Biased-4","1",0,1,1
"115",18,3,8,3,1,"Biased-4","1",1,1,1
"116",18,3,12,1,0,"Biased-4","1",0,1,1
"117",18,3,12,3,1,"Biased-4","1",1,1,1
"118",19,2,4,1,1,"Biased-4","1",0,1,1
"119",19,2,4,3,1,"Biased-4","1",0,1,1
"120",19,2,4,0,1,"Biased-4","1",0,1,1
"121",19,3,8,3,1,"Biased-4","1",1,1,1
"122",19,0,12,3,1,"Biased-4","1",0,1,1
"123",20,3,4,0,0,"Biased-4","1",0,1,1
"124",20,3,4,3,1,"Biased-4","1",1,1,1
"125",20,3,4,2,1,"Biased-4","1",0,1,1
"126",20,3,8,0,1,"Biased-4","1",0,1,1
"127",20,3,8,3,1,"Biased-4","1",1,1,1
"128",20,3,8,2,1,"Biased-4","1",0,1,1
"129",20,3,12,3,1,"Biased-4","1",1,1,1
"130",20,3,12,0,1,"Biased-4","1",0,1,1
"131",20,3,12,2,1,"Biased-4","1",0,1,1
